EUR/USD,1472089708804,1.12,732,1.12,739,1.12543,1.12754,1.12663
USD/JPY,1472089708167,100.,430,100.,437,100.387,100.621,100.424
GBP/USD,1472089708583,1.32,485,1.32,503,1.32275,1.32649,1.32330
EUR/GBP,1472089709065,0.85,082,0.85,093,0.84994,0.85161,0.85137
USD/CHF,1472089709520,0.96,648,0.96,659,0.96487,0.96956,0.96717
EUR/JPY,1472089708764,113.,216,113.,231,112.984,113.338,113.138
EUR/CHF,1472089708828,1.08,956,1.08,971,1.08868,1.08998,1.08940
USD/CAD,1472089708648,1.29,261,1.29,276,1.28961,1.29425,1.29264
AUD/USD,1472089708243,0.76,236,0.76,245,0.75943,0.76298,0.76140
GBP/JPY,1472089709105,133.,056,133.,081,132.796,133.307,132.887

